vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_7d_ma,sp500_30d_ma,sp500_volatility,prev_day_price
18.19,358.76001,19.074723209830946,2809.73,23.62,2858.699951,-0.229917,7.89,3,100.3591782,75.40805054,359.690002,352.2685765714286,336.74466659999996,4.115162684460982,358.76001
19.22,355.670013,18.99166029618782,2796.08,24.37,2868.0,-0.246065,7.84,3,100.3591782,56.08580399,358.76001,352.2685765714286,336.74466659999996,4.115162684460982,358.76001
20.11,352.200012,18.881454414127365,2773.25,20.29,2839.899902,-0.260393,7.79,3,100.3591782,63.84767532,355.670013,352.2685765714286,336.74466659999996,4.115162684460982,355.670013
20.26,353.790009,18.757938393484665,2794.37,16.61,2816.0,-0.29175,7.79,3,100.3591782,102.841156,352.200012,352.2685765714286,336.74466659999996,4.115162684460982,352.200012
22.2,349.619995,18.86028960307025,2766.0,15.8,2822.0,-0.297326,7.8,3,100.3591782,138.4356689,353.790009,352.2685765714286,336.74466659999996,4.115162684460982,353.790009
22.44,347.309998,18.985937738888534,2750.64,19.95,2868.0,-0.300341,7.75,3,100.3591782,103.5177383,349.619995,352.2685765714286,336.74466659999996,4.115162684460982,349.619995
20.05,348.529999,18.854992433095212,2760.67,15.79,2855.0,-0.300796,7.8,3,100.3591782,77.20746613,347.309998,352.2685765714286,336.74466659999996,4.115162684460982,347.309998
24.64,339.929993,19.02979393434063,2689.21,24.18,2835.0,-0.298692,7.74,3,100.3591782,69.95484924,348.529999,349.5785741428572,336.74466659999996,5.180999399230949,348.529999
26.34,337.0,18.76135841816897,2669.37,18.63,2788.600098,-0.277353,7.74,3,100.3591782,101.8426971,339.929993,346.91142942857147,336.74466659999996,6.223286943374262,339.929993
24.18,340.75,19.041633510338144,2692.62,25.0,2751.800049,-0.265677,7.89,3,100.3591782,78.40396881,337.0,345.27571342857146,336.74466659999996,6.105201899982363,337.0
24.16,337.399994,18.954069891993242,2659.13,21.31,2754.800049,-0.251768,7.97,3,100.3591782,86.16505432,340.75,342.93428271428576,336.74466659999996,5.397508442923965,340.75
